sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
A0216-FBA	B06XWWHP3B	B06XWWHP3B	MAXFLOORMAT Floor Mats for Nissan Titan (2017) / Titan XD (2016-2017) First Row Set (Black)	New	85.49	No		Yes	1	1	0	0	26	2.17	0	25	0
A0216/B0216	B06XWQ6WPB	B06XWQ6WPB	MAXFLOORMAT Floor Mats for Nissan Titan (2017) / Titan XD (2016-2017) Crew Cab With Underseat Tool Box 2 Row Set (Black)	New	143.98	Yes	411	No	44	44	0	0	44	2.48	0	0	0
A0216/B0216-FBA	B06XWQ6WPB	B06XWQ6WPB	MAXFLOORMAT Floor Mats for Nissan Titan (2017) / Titan XD (2016-2017) Crew Cab With Underseat Tool Box 2 Row Set (Black)	New	143.98	No		Yes	44	44	0	0	44	2.48	0	0	0
A0218	B01K8DYAH2	B01K8DYAH2	MAXFLOORMAT Floor Mats for Hyundai Sonata (2015-2017) / KIA Optima (2016-2017) First Row (Black)	New	85.49	Yes	0	No	0	0	0	0	0	2.19	0	0	0
A0218-FBA	B01K8DYAH2	B01K8DYAH2	MAXFLOORMAT Floor Mats for Hyundai Sonata (2015-2017) / KIA Optima (2016-2017) First Row (Black)	New	85.49	No		Yes	0	0	0	0	0	2.19	0	0	0
A0218/B0218	B01K8DYCWK	B01K8DYCWK	MAXFLOORMAT Floor Mats for Hyundai Sonata (2015-2017) / KIA Optima (2016-2017) Complete Set (Black)	New	143.98	Yes	0	No	1	0	1	0	1	2.02	0	0	0
A0218/B0218-FBA	B01K8DYCWK	B01K8DYCWK	MAXFLOORMAT Floor Mats for Hyundai Sonata (2015-2017) / KIA Optima (2016-2017) Complete Set (Black)	New	143.98	No		Yes	1	0	1	0	1	2.02	0	0	0
A0218/B0218/D0218	B01L26JJ98	B01L26JJ98	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Sonata (2015-2017) / Optima (2016-2017) Complete	New	224.97	Yes	0	No	0	0	0	0	0	5.39	0	0	0
A0218/B0218/D0218-FBA	B01L26JJ98	B01L26JJ98	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Sonata (2015-2017) / Optima (2016-2017) Complete	New	224.97	No		Yes	0	0	0	0	0	5.39	0	0	0
A0222/B0222-FBA	B071VCG82Z	B071VCG82Z	MAXFLOORMAT Floor Mats for Lexus RX (2016-2017) 2 Row Set (Black)	New	143.98	No		Yes	2	2	0	0	4	2.81	0	2	0
